Pitch,Time,TDRDF1,TDRDF2,TDRDF3,TDRDF4
3.2,21.35,107.0736072,107.1947047,107.0423315,107.1659118
3.2,21.4,107.8938077,107.9126728,107.9162351,107.9812513
3.2,21.45,108.7035247,108.713118,108.8662641,108.7379921
3.2,21.5,109.7159287,109.6349427,109.546686,109.6752841
3.2,21.55,110.4172026,110.3764881,110.4085562,110.4375544
3.2,21.6,111.1539536,110.9379517,111.1484965,111.1213574
3.4,21.65,111.7915987,111.7538543,111.8107116,111.7958755
3.4,21.7,112.4308586,112.2735622,112.4798273,112.4059641
3.4,21.75,113.0537016,112.8442776,113.151289,113.0922112
3.4,21.8,113.6772024,113.4081888,113.7505445,113.6557467
